                   t               x1(t)               x2(t)           DeltaX(t)
  1.7000000000000E+00 -8.3000000000000E+00 -1.5033518340362E+01 -6.7335183403616E+00
  1.7083333333333E+00 -8.2916666666667E+00 -1.5120461122630E+01 -6.8287944559629E+00
  1.7166666666667E+00 -8.2833333333333E+00 -1.5207345365863E+01 -6.9240120325292E+00
  1.7250000000000E+00 -8.2750000000000E+00 -1.5294171118823E+01 -7.0191711188227E+00
  1.7333333333333E+00 -8.2666666666667E+00 -1.5380938430232E+01 -7.1142717635649E+00
  1.7416666666667E+00 -8.2583333333333E+00 -1.5467647348770E+01 -7.2093140154370E+00
  1.7500000000000E+00 -8.2500000000000E+00 -1.5554297923079E+01 -7.3042979230793E+00
  1.7583333333333E+00 -8.2416666666667E+00 -1.5640890201758E+01 -7.3992235350917E+00
  1.7666666666667E+00 -8.2333333333333E+00 -1.5727424233367E+01 -7.4940909000339E+00
  1.7750000000000E+00 -8.2250000000000E+00 -1.5813900066425E+01 -7.5889000664246E+00
  1.7833333333333E+00 -8.2166666666667E+00 -1.5900317749409E+01 -7.6836510827426E+00
  1.7916666666667E+00 -8.2083333333333E+00 -1.5986677330759E+01 -7.7783439974261E+00
  1.8000000000000E+00 -8.2000000000000E+00 -1.6072978858873E+01 -7.8729788588728E+00
  1.8083333333333E+00 -8.1916666666667E+00 -1.6159222382107E+01 -7.9675557154404E+00
  1.8166666666667E+00 -8.1833333333333E+00 -1.6245407948779E+01 -8.0620746154461E+00
  1.8250000000000E+00 -8.1750000000000E+00 -1.6331535607167E+01 -8.1565356071669E+00
  1.8333333333333E+00 -8.1666666666667E+00 -1.6417605405506E+01 -8.2509387388397E+00
  1.8416666666667E+00 -8.1583333333333E+00 -1.6503617391994E+01 -8.3452840586611E+00
  1.8500000000000E+00 -8.1500000000000E+00 -1.6589571614787E+01 -8.4395716147874E+00
  1.8583333333333E+00 -8.1416666666667E+00 -1.6675468122002E+01 -8.5338014553352E+00
  1.8666666666667E+00 -8.1333333333333E+00 -1.6761306961714E+01 -8.6279736283806E+00
  1.8750000000000E+00 -8.1250000000000E+00 -1.6847088181960E+01 -8.7220881819600E+00
  1.8833333333333E+00 -8.1166666666667E+00 -1.6932811830736E+01 -8.8161451640694E+00
  1.8916666666667E+00 -8.1083333333333E+00 -1.7018477955999E+01 -8.9101446226653E+00
  1.9000000000000E+00 -8.1000000000000E+00 -1.7104086605664E+01 -9.0040866056638E+00
  1.9083333333333E+00 -8.0916666666667E+00 -1.7189637827608E+01 -9.0979711609413E+00
  1.9166666666667E+00 -8.0833333333333E+00 -1.7275131669668E+01 -9.1917983363344E+00
  1.9250000000000E+00 -8.0750000000000E+00 -1.7360568179640E+01 -9.2855681796397E+00
  1.9333333333333E+00 -8.0666666666667E+00 -1.7445947405281E+01 -9.3792807386140E+00
  1.9416666666667E+00 -8.0583333333333E+00 -1.7531269394308E+01 -9.4729360609744E+00
  1.9500000000000E+00 -8.0500000000000E+00 -1.7616534194398E+01 -9.5665341943982E+00
  1.9583333333333E+00 -8.0416666666667E+00 -1.7701741853190E+01 -9.6600751865229E+00
  1.9666666666667E+00 -8.0333333333333E+00 -1.7786892418280E+01 -9.7535590849467E+00
  1.9750000000000E+00 -8.0250000000000E+00 -1.7871985937228E+01 -9.8469859372275E+00
  1.9833333333333E+00 -8.0166666666667E+00 -1.7957022457551E+01 -9.9403557908842E+00
  1.9916666666667E+00 -8.0083333333333E+00 -1.8042002026729E+01 -1.0033668693396E+01
  2.0000000000000E+00 -8.0000000000000E+00 -1.8126924692202E+01 -1.0126924692202E+01
  2.0083333333333E+00 -7.9916666666667E+00 -1.8211790501369E+01 -1.0220123834702E+01
  2.0166666666667E+00 -7.9833333333333E+00 -1.8296599501591E+01 -1.0313266168258E+01
  2.0250000000000E+00 -7.9750000000000E+00 -1.8381351740189E+01 -1.0406351740189E+01
  2.0333333333333E+00 -7.9666666666667E+00 -1.8466047264445E+01 -1.0499380597778E+01
  2.0416666666667E+00 -7.9583333333333E+00 -1.8550686121600E+01 -1.0592352788267E+01
  2.0500000000000E+00 -7.9500000000000E+00 -1.8635268358859E+01 -1.0685268358859E+01
  2.0583333333333E+00 -7.9416666666667E+00 -1.8719794023383E+01 -1.0778127356717E+01
  2.0666666666667E+00 -7.9333333333333E+00 -1.8804263162299E+01 -1.0870929828966E+01
  2.0750000000000E+00 -7.9250000000000E+00 -1.8888675822690E+01 -1.0963675822690E+01
  2.0833333333333E+00 -7.9166666666667E+00 -1.8973032051603E+01 -1.1056365384937E+01
  2.0916666666667E+00 -7.9083333333333E+00 -1.9057331896044E+01 -1.1148998562711E+01
  2.1000000000000E+00 -7.9000000000000E+00 -1.9141575402981E+01 -1.1241575402981E+01
  2.1083333333333E+00 -7.8916666666667E+00 -1.9225762619342E+01 -1.1334095952676E+01
  2.1166666666667E+00 -7.8833333333333E+00 -1.9309893592017E+01 -1.1426560258683E+01
  2.1250000000000E+00 -7.8750000000000E+00 -1.9393968367855E+01 -1.1518968367855E+01
  2.1333333333333E+00 -7.8666666666667E+00 -1.9477986993668E+01 -1.1611320327001E+01
  2.1416666666667E+00 -7.8583333333333E+00 -1.9561949516227E+01 -1.1703616182894E+01
  2.1500000000000E+00 -7.8500000000000E+00 -1.9645855982267E+01 -1.1795855982267E+01
  2.1583333333333E+00 -7.8416666666667E+00 -1.9729706438482E+01 -1.1888039771815E+01
  2.1666666666667E+00 -7.8333333333333E+00 -1.9813500931526E+01 -1.1980167598193E+01
  2.1750000000000E+00 -7.8250000000000E+00 -1.9897239508017E+01 -1.2072239508017E+01
  2.1833333333333E+00 -7.8166666666667E+00 -1.9980922214532E+01 -1.2164255547866E+01
  2.1916666666667E+00 -7.8083333333333E+00 -2.0064549097611E+01 -1.2256215764277E+01
  2.2000000000000E+00 -7.8000000000000E+00 -2.0148120203752E+01 -1.2348120203752E+01
  2.2083333333333E+00 -7.7916666666667E+00 -2.0231635579418E+01 -1.2439968912752E+01
  2.2166666666667E+00 -7.7833333333333E+00 -2.0315095271032E+01 -1.2531761937699E+01
  2.2250000000000E+00 -7.7750000000000E+00 -2.0398499324977E+01 -1.2623499324977E+01
  2.2333333333333E+00 -7.7666666666667E+00 -2.0481847787599E+01 -1.2715181120932E+01
  2.2416666666667E+00 -7.7583333333333E+00 -2.0565140705205E+01 -1.2806807371871E+01
  2.2500000000000E+00 -7.7500000000000E+00 -2.0648378124062E+01 -1.2898378124062E+01
  2.2583333333333E+00 -7.7416666666667E+00 -2.0731560090401E+01 -1.2989893423735E+01
  2.2666666666667E+00 -7.7333333333333E+00 -2.0814686650413E+01 -1.3081353317080E+01
  2.2750000000000E+00 -7.7250000000000E+00 -2.0897757850251E+01 -1.3172757850251E+01
  2.2833333333333E+00 -7.7166666666667E+00 -2.0980773736028E+01 -1.3264107069361E+01
  2.2916666666667E+00 -7.7083333333333E+00 -2.1063734353821E+01 -1.3355401020487E+01
  2.3000000000000E+00 -7.7000000000000E+00 -2.1146639749667E+01 -1.3446639749667E+01
  2.3083333333333E+00 -7.6916666666667E+00 -2.1229489969565E+01 -1.3537823302898E+01
  2.3166666666667E+00 -7.6833333333333E+00 -2.1312285059476E+01 -1.3628951726142E+01
  2.3250000000000E+00 -7.6750000000000E+00 -2.1395025065322E+01 -1.3720025065322E+01
  2.3333333333333E+00 -7.6666666666667E+00 -2.1477710032989E+01 -1.3811043366322E+01
  2.3416666666667E+00 -7.6583333333333E+00 -2.1560340008321E+01 -1.3902006674987E+01
  2.3500000000000E+00 -7.6500000000000E+00 -2.1642915037126E+01 -1.3992915037126E+01
  2.3583333333333E+00 -7.6416666666667E+00 -2.1725435165176E+01 -1.4083768498509E+01
  2.3666666666667E+00 -7.6333333333333E+00 -2.1807900438200E+01 -1.4174567104866E+01
  2.3750000000000E+00 -7.6250000000000E+00 -2.1890310901892E+01 -1.4265310901892E+01
  2.3833333333333E+00 -7.6166666666667E+00 -2.1972666601909E+01 -1.4355999935242E+01
  2.3916666666667E+00 -7.6083333333333E+00 -2.2054967583866E+01 -1.4446634250533E+01
  2.4000000000000E+00 -7.6000000000000E+00 -2.2137213893345E+01 -1.4537213893345E+01
  2.4083333333333E+00 -7.5916666666667E+00 -2.2219405575885E+01 -1.4627738909218E+01
  2.4166666666667E+00 -7.5833333333333E+00 -2.2301542676991E+01 -1.4718209343657E+01
  2.4250000000000E+00 -7.5750000000000E+00 -2.2383625242128E+01 -1.4808625242128E+01
